"SchoolName","SchoolSystem","SchoolGrade","SchoolGradeLetter","SchoolGradeNumber","GrowtStatus","GradeLevel","FreeReduced","Latitude","Longitude"
"Fairview Heights Elementary","Richmond County Schools","C - 64","C","64","Met","59.6","98","34.88851324","-79.71294053"
"Hamlet Middle","Richmond County Schools","D - 54","D","54","Exceeded","46.0","86","34.88999717","-79.72060092"
"L J Bell Elementary","Richmond County Schools","C - 68","C","68","Exceeded","61.8","90","34.94613379","-79.76526238"
"Mineral Springs Elementary","Forsyth County Schools","C - 60","C","60","Exceeded","52.5","98","35.06224327","-79.75447856"
"Mineral Springs Elementary","Richmond County Schools","C - 59","C","59","Exceeded","49.3","100","35.06224327","-79.75447856"
"Monroe Avenue Elementary","Richmond County Schools","D - 47","D","47","Met","40.8","100","34.89609517","-79.69794296"
"Richmond Senior High","Richmond County Schools","C - 61","C","61","NotMet","38.2","66","34.95466992","-79.71542291"
"Richmond Early College High","Richmond County Schools","A - 86","A","86","Met","81.4","64","34.90281813","-79.71186697"
"Richmond 9th Grade Academy","Richmond County Schools","C - 63","C","63","Exceeded","56.8","75","34.92194697","-79.69730929"
"Rockingham Middle","Richmond County Schools","C - 56","C","56","NotMet","53.7","77","34.94411141","-79.76328224"
"Rohanen Middle","Richmond County Schools","D - 52","D","52","Exceeded","43.5","99","34.94411141","-79.76328224"
"West Rockingham Elementary","Richmond County Schools","C - 57","C","57","Exceeded","48.9","100","34.94662732","-79.78780434"
"Washington Street Elementary","Richmond County Schools","C - 55","C","55","Met","47.9","93","34.94291782","-79.74163815"
"Deep Branch Elementary","Robeson County Schools","F - 34","F","34","NotMet","27.2","90","34.63037872","-79.14601135"
"East Robeson Primary","Robeson County Schools","B - 71","B","71","Exceeded","65.9","89","34.62572113","-78.92456755"
"Fairgrove Middle","Robeson County Schools","D - 45","D","45","Met","36.5","87","34.46356964","-79.13658142"
"Fairmont High","Robeson County Schools","C - 60","C","60","Met","33.2","81","34.48053584","-79.09576289"
"Fairmont Middle","Robeson County Schools","D - 44","D","44","Met","34.9","94","34.49820700","-79.11769100"
"Green Grove Elementary","Robeson County Schools","C - 58","C","58","Met","52.0","91","34.55750275","-79.14274597"
"Janie C Hargrave Elem","Robeson County Schools","F - 36","F","36","Met","25.3","95","34.61428000","-78.98773100"
"L Gilbert Carroll Middle","Robeson County Schools","D - 44","D","44","NotMet","38.9","74","34.65890743","-79.00817938"
"Robeson Co Career Ctr","Robeson County Schools","I - NA","I","","NA","NA","NA","34.59034729","-79.12297821"
"Littlefield Middle","Robeson County Schools","D - 41","D","41","NotMet","36.7","80","34.64476776","-78.91708374"
"Long Branch Elementary","Robeson County Schools","D - 46","D","46","Met","36.6","89","34.53887790","-78.95708330"
"Lumberton Junior High","Robeson County Schools","F - 37","F","37","NotMet","32.6","81","34.60538800","-79.03276800"
"Lumberton Senior High","Robeson County Schools","C - 56","C","56","NotMet","37.1","69","34.64639200","-78.99712300"
"Magnolia Elementary","Robeson County Schools","F - 35","F","35","NotMet","26.9","92","34.71229613","-79.00367796"
"Orrum Middle","Robeson County Schools","D - 40","D","40","NotMet","33.5","82","34.46429372","-79.00945209"
"Oxendine Elementary","Robeson County Schools","D - 42","D","42","Met","34.0","91","34.80521393","-79.25792694"
"Parkton Elementary","Robeson County Schools","D - 49","D","49","Met","41.0","86","34.90375519","-79.00555420"
"Pembroke Elementary","Robeson County Schools","D - 42","D","42","NotMet","35.5","81","34.67664488","-79.19439644"
"Pembroke Middle","Robeson County Schools","F - 39","F","39","NotMet","33.0","82","34.67356637","-79.21008535"
"Peterson Elementary","Robeson County Schools","F - 38","F","38","Met","27.8","92","34.81273144","-79.18916881"
"Piney Grove Elementary","Charlotte-Mecklenburg Schools","C - 56","C","56","Met","49.9","79","34.68540100","-79.03752100"
"Piney Grove Elementary","Forsyth County Schools","B - 70","B","70","Met","68.6","31","34.68540100","-79.03752100"
"Piney Grove Elementary","Robeson County Schools","D - 46","D","46","NotMet","40.7","87","34.68540100","-79.03752100"
"Prospect Elementary","Robeson County Schools","D - 49","D","49","Met","42.4","73","34.73237610","-79.23223114"
"Prospect Elementary","Union County Public Schools","C - 63","C","63","Met","58.3","49","34.73237610","-79.23223114"
"PSRC Early College at RCC","Robeson County Schools","A - 91","A","91","Exceeded","87.0","51","34.73237610","-79.23223114"
"R B Dean Elementary","Robeson County Schools","F - 34","F","34","Met","23.1","93","34.73259576","-79.34408449"
"Red Springs High","Robeson County Schools","C - 69","C","69","Exceeded","50.3","84","34.82224600","-79.18632500"
"Rex-Rennert Elementary","Robeson County Schools","D - 43","D","43","Exceeded","30.7","95","34.84394455","-79.08856964"
"Red Springs Middle","Robeson County Schools","D - 42","D","42","Exceeded","30.9","91","34.81884755","-79.18533929"
"Rosenwald Elementary","Robeson County Schools","F - 33","F","33","Met","23.8","91","34.46356964","-79.13658142"
"Rowland Middle","Robeson County Schools","D - 46","D","46","Met","37.3","94","34.54051208","-79.29595184"
"Rowland Norment Elementary","Robeson County Schools","D - 51","D","51","Met","43.5","94","34.62243200","-78.99577300"
"Saint Pauls Elementary","Robeson County Schools","D - 45","D","45","Exceeded","32.5","93","34.80643463","-78.95937347"
"Saint Pauls High","Robeson County Schools","C - 63","C","63","Exceeded","39.9","79","34.79790878","-78.95971680"
"South Robeson High","Robeson County Schools","D - 51","D","51","NotMet","27.8","88","34.54536438","-79.25323486"
"Saint Pauls Middle","Robeson County Schools","D - 49","D","49","Exceeded","35.7","84","34.81260300","-78.97636414"
"Tanglewood Elementary","Robeson County Schools","C - 65","C","65","Met","61.5","53","34.63871384","-79.01208496"
"Southside/Ashpole Elem","Robeson County Schools","F - 36","F","36","NotMet","29.4","94","34.57651901","-79.27368927"
"Townsend Middle","Robeson County Schools","F - 26","F","26","NotMet","16.2","91","34.73352715","-79.35051441"
"Union Chapel Elementary","Robeson County Schools","D - 50","D","50","Exceeded","41.7","83","34.71155584","-79.13352571"
"Union Elementary","Brunswick County Schools","B - 75","B","75","Exceeded","71.8","99","34.63541031","-79.24652100"
"Union Elementary","Cleveland County Schools","C - 62","C","62","Met","56.5","72","34.63541031","-79.24652100"
"Union Elementary","Lincoln County Schools","B - 79","B","79","Exceeded","76.5","51","34.63541031","-79.24652100"
"Union Elementary","Robeson County Schools","C - 57","C","57","Exceeded","48.2","83","34.63541031","-79.24652100"
"Union Elementary","Sampson County Schools","B - 74","B","74","Exceeded","71.3","91","34.63541031","-79.24652100"
"Union Elementary","Union County Public Schools","B - 70","B","70","Met","67.1","62","34.63541031","-79.24652100"
"W H Knuckles","Robeson County Schools","F - 36","F","36","Met","24.7","98","34.61064100","-79.02268900"
"West Lumberton Elementary","Robeson County Schools","B - 79","B","79","Exceeded","75.7","96","34.62287500","-79.03482800"
"Purnell Swett High","Robeson County Schools","C - 57","C","57","NotMet","33.7","72","34.67090988","-79.20667267"
"CIS Academy","Charter Schools","D - 48","D","48","Exceeded","36.8","73","34.68506500","-79.20337513"
"Southeastern Academy","Charter Schools","B - 80","B","80","Exceeded","77.1","0","34.65132885","-78.87247972"
"Bethany Elementary","Rockingham County Schools","C - 65","C","65","Met","63.3","43","36.31258774","-79.85890961"
"Central Elementary","Currituck County Schools","C - 59","C","59","Met","54.3","63","36.50446701","-79.73161316"
"Central Elementary","Haywood County Schools","C - 66","C","66","Met","62.6","100","36.50446701","-79.73161316"
"Central Elementary","Iredell-Statesville Schools","B - 75","B","75","Met","73.2","47","36.50446701","-79.73161316"
"Central Elementary","Northampton County Schools","F - 36","F","36","Met","26.1","92","36.50446701","-79.73161316"
"Central Elementary","Orange County Schools","C - 57","C","57","Exceeded","49.0","69","36.50446701","-79.73161316"
"Central Elementary","Pasquotank County Schools","C - 61","C","61","Met","56.1","59","36.50446701","-79.73161316"
"Central Elementary","Rockingham County Schools","C - 67","C","67","Exceeded","62.0","61","36.50446701","-79.73161316"
"Central Elementary","Stanly County Schools","D - 51","D","51","NotMet","48.0","80","36.50446701","-79.73161316"
"Dalton McMichael High","Rockingham County Schools","B - 71","B","71","Exceeded","53.2","53","36.44535446","-79.98725128"
"Douglass Elementary","Rockingham County Schools","C - 63","C","63","Exceeded","56.9","69","36.49351962","-79.78031091"
"Draper Elementary","Rockingham County Schools","D - 54","D","54","Exceeded","46.0","87","36.51751328","-79.68923950"
"Huntsville Elementary","Rockingham County Schools","C - 64","C","64","Met","59.4","67","36.33097458","-79.95053101"
"J E Holmes Middle","Rockingham County Schools","D - 51","D","51","NotMet","45.9","67","36.50606537","-79.73796082"
"John W Dillard Elementary","Rockingham County Schools","C - 65","C","65","Exceeded","57.6","79","36.39624663","-79.97604042"
"Leaksville-Spray Elementary","Rockingham County Schools","C - 62","C","62","Met","56.1","82","36.49304100","-79.75874300"
"Lincoln Elementary","Brunswick County Schools","C - 58","C","58","Exceeded","50.0","100","36.46518326","-79.64978027"
"Lincoln Elementary","Rockingham County Schools","C - 58","C","58","Exceeded","50.6","64","36.46518326","-79.64978027"
"Monroeton Elementary","Rockingham County Schools","C - 59","C","59","NotMet","56.8","58","36.38143614","-79.45480071"
"John M Morehead High","Rockingham County Schools","D - 53","D","53","NotMet","35.6","57","36.50415421","-79.73509979"
"Moss Street Elementary","Rockingham County Schools","D - 52","D","52","Exceeded","43.4","95","36.36476100","-79.67966400"
"New Vision Sch.of Math/Sci/Tec","Rockingham County Schools","B - 74","B","74","Met","71.7","37","36.39790700","-79.97423500"
"Reidsville High","Rockingham County Schools","C - 55","C","55","Met","36.0","62","36.33130498","-79.67593476"
"Reidsville Middle","Rockingham County Schools","D - 44","D","44","Met","35.7","76","36.33122452","-79.67601724"
"Rockingham County High","Rockingham County Schools","C - 67","C","67","Met","51.2","36","36.38468362","-79.74165425"
"Rockingham Co Early College High","Rockingham County Schools","A - 92","A","92","Exceeded","87.9","43","35.53934479","-79.18541718"
"Rockingham County Middle","Rockingham County Schools","C - 67","C","67","Exceeded","58.2","45","36.38459377","-79.74165425"
"South End Elementary","Rockingham County Schools","C - 65","C","65","Met","60.1","75","36.34428889","-79.66808058"
"Stoneville Elementary","Rockingham County Schools","C - 55","C","55","Exceeded","46.1","74","36.46394730","-79.90618134"
"The SCORE Center","Rockingham County Schools","NA - NA","N","","NA","9.0","94","36.36295706","-79.67999361"
"Western Rockingham Middle","Rockingham County Schools","C - 59","C","59","Exceeded","51.0","61","36.40103912","-79.97963715"
"Wentworth Elementary","Rockingham County Schools","C - 67","C","67","Met","63.3","47","36.39683151","-79.74549103"
"Williamsburg Elementary","Rockingham County Schools","C - 56","C","56","Met","49.7","78","36.28950800","-79.61723300"
"Bethany Community Middle","Charter Schools","C - 61","C","61","NotMet","59.3","19","36.28950800","-79.61723300"
"Henderson High","Rowan-Salisbury Schools","NA - NA","N","","NA","10.0","86","35.67684555","-80.45642853"
"Bostian Elementary","Rowan-Salisbury Schools","C - 64","C","64","Met","61.9","45","35.52307510","-80.54141998"
"Erwin Middle","Buncombe County Schools","D - 52","D","52","NotMet","49.1","70","35.59588623","-80.42358398"
"Erwin Middle","Rowan-Salisbury Schools","D - 42","D","42","NotMet","39.9","51","35.59588623","-80.42358398"
"Overton Elementary","Rowan-Salisbury Schools","D - 41","D","41","NotMet","34.0","80","35.68866648","-80.47384232"
"China Grove Elementary","Rowan-Salisbury Schools","D - 50","D","50","Met","44.3","66","35.56680200","-80.58646300"
"China Grove Middle","Rowan-Salisbury Schools","D - 47","D","47","NotMet","45.9","49","35.57802963","-80.57118225"
"Cleveland Elementary","Johnston County Schools","B - 75","B","75","Met","76.0","27","35.72909927","-80.68115234"
"Cleveland Elementary","Rowan-Salisbury Schools","C - 55","C","55","Met","49.0","61","35.72909927","-80.68115234"
"Corriher Lipe Middle","Rowan-Salisbury Schools","D - 40","D","40","NotMet","37.3","65","35.54649700","-80.61489800"
"East Rowan High","Rowan-Salisbury Schools","C - 59","C","59","NotMet","45.2","42","35.59274673","-80.42248535"
"Koontz Elementary","Rowan-Salisbury Schools","F - 36","F","36","NotMet","31.0","91","35.62412643","-80.49631500"
"Shive Elementary","Rowan-Salisbury Schools","C - 57","C","57","NotMet","54.3","58","35.54286957","-80.43434143"
"Enochville Elementary","Rowan-Salisbury Schools","C - 56","C","56","Met","51.5","61","35.53537750","-80.66676331"
"Faith Elementary","Rowan-Salisbury Schools","C - 63","C","63","Met","60.0","51","35.58875084","-80.46325967"
"Granite Quarry Elementary","Rowan-Salisbury Schools","C - 60","C","60","Met","54.8","63","35.60962296","-80.44811249"
"Isenberg Elementary","Rowan-Salisbury Schools","D - 41","D","41","Met","30.7","82","35.70192337","-80.50247955"
"Dole Elementary","Rowan-Salisbury Schools","D - 40","D","40","Met","29.6","86","35.66947174","-80.42541504"
"Hurley Elementary","Rowan-Salisbury Schools","D - 45","D","45","NotMet","40.4","74","35.69956970","-80.55867767"
"Carson High","Rowan-Salisbury Schools","C - 68","C","68","Met","53.1","46","35.56218719","-80.54370117"
"Knollwood Elementary","Rowan-Salisbury Schools","F - 38","F","38","NotMet","32.4","81","35.61596298","-80.57549286"
"Knox Middle","Rowan-Salisbury Schools","F - 34","F","34","NotMet","27.3","86","35.68784714","-80.47634125"
"Landis Elementary","Rowan-Salisbury Schools","D - 43","D","43","NotMet","38.7","70","35.55454636","-80.62102509"
"Millbridge Elementary","Rowan-Salisbury Schools","C - 58","C","58","Met","53.4","51","35.60165787","-80.65643311"
"Morgan Elementary","Rowan-Salisbury Schools","C - 59","C","59","Met","52.8","58","35.57966614","-80.33721924"
"Mt Ulla Elementary","Rowan-Salisbury Schools","C - 66","C","66","Exceeded","59.6","59","35.66466522","-80.71694183"
"North Rowan Elementary","Rowan-Salisbury Schools","F - 37","F","37","Met","28.3","80","35.66466522","-80.71694183"
"North Rowan High","Rowan-Salisbury Schools","D - 45","D","45","NotMet","22.4","69","35.69791700","-80.43054900"
"North Rowan Middle","Rowan-Salisbury Schools","D - 45","D","45","Met","36.6","81","35.70031598","-80.42656101"
"Rockwell Elementary","Rowan-Salisbury Schools","C - 63","C","63","Met","59.3","54","35.55614000","-80.41577900"
"Rowan Co Early College","Rowan-Salisbury Schools","B - 82","B","82","Met","70.2","66","35.64161047","-80.47780059"
"Salisbury High","Rowan-Salisbury Schools","D - 54","D","54","NotMet","34.5","67","35.66481781","-80.48486328"
"Southeast Middle","Forsyth County Schools","C - 58","C","58","Met","52.4","45","35.60983276","-80.50875854"
"Southeast Middle","Rowan-Salisbury Schools","D - 44","D","44","NotMet","41.9","57","35.60983276","-80.50875854"
"South Rowan High","Rowan-Salisbury Schools","C - 57","C","57","NotMet","36.7","51","35.57298279","-80.61029053"
"West Rowan High","Rowan-Salisbury Schools","C - 59","C","59","NotMet","43.3","50","35.69889832","-80.64430237"
"West Rowan Middle","Rowan-Salisbury Schools","D - 49","D","49","NotMet","47.0","58","35.71406937","-80.58654785"
"Woodleaf Elementary","Rowan-Salisbury Schools","D - 49","D","49","NotMet","46.4","69","35.77044296","-80.58963013"
"Chase High School","Rutherford County Schools","C - 67","C","67","Exceeded","49.5","56","35.25000595","-81.84494868"
"Chase Middle School","Rutherford County Schools","D - 51","D","51","NotMet","49.5","70","35.26971054","-81.84857178"
"Cliffside Elementary School","Rutherford County Schools","B - 74","B","74","Met","71.6","81","35.24707700","-81.76937800"
"Forest City-Dunbar Elementary School","Rutherford County Schools","C - 58","C","58","Met","53.1","95","35.24707700","-81.76937800"
"East Rutherford High School","Rutherford County Schools","C - 61","C","61","Met","43.5","65","35.34049161","-81.81939863"
"East Rutherford Middle School","Rutherford County Schools","C - 55","C","55","NotMet","53.1","69","35.36178500","-81.83016200"
"Ellenboro Elementary School","Rutherford County Schools","B - 70","B","70","Met","69.9","67","35.35222962","-81.77150175"
"Forrest W Hunt Elementary School","Rutherford County Schools","B - 74","B","74","Exceeded","70.0","78","35.30015856","-81.85228854"
"Harris Elementary School","Rutherford County Schools","B - 70","B","70","Met","67.8","69","35.27400500","-81.89978000"
"Mt Vernon-Ruth Elementary School","Rutherford County Schools","C - 63","C","63","Met","59.5","74","35.41198589","-81.91029668"
"Pinnacle Elementary School","Rutherford County Schools","B - 73","B","73","Met","73.3","66","35.46451762","-82.00913809"
"R-S Middle School","Rutherford County Schools","D - 51","D","51","NotMet","49.8","65","35.36608505","-81.94493103"
"R-S Central High School","Rutherford County Schools","C - 59","C","59","NotMet","41.5","57","35.40220261","-81.97029877"
"Rutherford Early College High School","Rutherford County Schools","A - 87","A","87","Met","82.9","47","35.33746700","-81.90924000"
"Rutherford Opportunity Center","Rutherford County Schools","NA - NA","N","","NA","5.4","100","35.32981100","-81.85839000"
"Rutherfordton Elementary School","Rutherford County Schools","C - 69","C","69","Met","66.8","66","35.33631516","-81.97145844"
"Spindale Elementary School","Rutherford County Schools","C - 65","C","65","Met","60.3","87","35.35982513","-81.93306732"
"Sunshine Elementary School","Rutherford County Schools","B - 74","B","74","Met","71.7","68","35.45189515","-81.80995457"
"Thomas Jefferson Class Academy","Charter Schools","A+ - 86","A","86","Met","84.3","13","35.27303740","-81.79698206"
"Lake Lure Classical Academy","Charter Schools","C - 58","C","58","NotMet","56.4","41","35.43040127","-82.22242668"
"Roseboro Elementary","Sampson County Schools","C - 67","C","67","Exceeded","61.4","84","34.94347763","-78.52494812"
"Clement Elementary","Sampson County Schools","C - 61","C","61","NotMet","59.7","69","34.94347763","-78.52494812"
"Sampson Early College High","Sampson County Schools","B - 80","B","80","Exceeded","69.5","55","34.99166496","-78.35824594"
"Hargrove Elementary","Sampson County Schools","C - 69","C","69","Exceeded","64.1","84","34.99166496","-78.35824594"
"Hobbton Elementary","Sampson County Schools","B - 71","B","71","Met","69.1","79","34.99166496","-78.35824594"
"Hobbton Middle","Sampson County Schools","C - 55","C","55","NotMet","55.0","77","35.17646581","-78.32807310"
"Hobbton High","Sampson County Schools","C - 69","C","69","Exceeded","53.5","67","35.17789677","-78.32817838"
"Lakewood High","Sampson County Schools","C - 60","C","60","Met","42.6","72","34.99002814","-78.50055054"
"Midway Elementary","Davidson County Schools","B - 73","B","73","Exceeded","68.4","44","35.17523956","-78.47943878"
"Midway Elementary","Sampson County Schools","B - 73","B","73","Exceeded","68.7","65","35.17523956","-78.47943878"
"Midway High","Sampson County Schools","C - 67","C","67","NotMet","52.9","51","35.17560959","-78.47469330"
"Midway Middle","Sampson County Schools","C - 60","C","60","NotMet","60.0","57","35.16740330","-78.53390314"
"Plain View Elementary","Sampson County Schools","B - 78","B","78","Exceeded","74.4","58","35.23483068","-78.53994280"
"Union Middle","Sampson County Schools","D - 50","D","50","Met","44.6","83","34.86527458","-78.25401731"
"Roseboro-Salemburg Middle","Sampson County Schools","C - 61","C","61","Met","56.3","77","34.94908142","-78.51423645"
"Salemburg Elementary","Sampson County Schools","C - 61","C","61","Exceeded","53.6","77","35.01536094","-78.50329779"
"Union Elementary","Brunswick County Schools","B - 75","B","75","Exceeded","71.8","99","35.01536094","-78.50329779"
"Union Elementary","Cleveland County Schools","C - 62","C","62","Met","56.5","72","35.01536094","-78.50329779"
"Union Elementary","Lincoln County Schools","B - 79","B","79","Exceeded","76.5","51","35.01536094","-78.50329779"
"Union Elementary","Robeson County Schools","C - 57","C","57","Exceeded","48.2","83","35.01536094","-78.50329779"
"Union Elementary","Sampson County Schools","B - 74","B","74","Exceeded","71.3","91","35.01536094","-78.50329779"
"Union Elementary","Union County Public Schools","B - 70","B","70","Met","67.1","62","35.01536094","-78.50329779"
"Union Intermediate","Sampson County Schools","C - 62","C","62","Met","59.7","91","35.01536094","-78.50329779"
"Union High","Sampson County Schools","C - 59","C","59","Met","36.9","78","34.80749980","-78.24030720"
"Butler Avenue Elementary","Clinton City Schools","B - 74","B","74","Exceeded","70.0","78","34.80749980","-78.24030720"
"Clinton High","Clinton City Schools","C - 62","C","62","NotMet","48.7","51","34.97385040","-78.32913660"
"Langdon C Kerr Elementary","Clinton City Schools","I - NA","I","","NA","NA","78","35.01433182","-78.31991577"
"Sampson Middle","Clinton City Schools","C - 68","C","68","Exceeded","61.4","69","34.97268677","-78.33277130"
"Sunset Avenue Elementary","Clinton City Schools","C - 58","C","58","NotMet","56.8","73","34.99786288","-78.33086595"
"Carver Middle","Scotland County Schools","D - 47","D","47","NotMet","44.1","65","34.81986478","-79.52400573"
"Covington Street Elementary","Scotland County Schools","C - 64","C","64","Met","62.0","56","34.76717700","-79.45398700"
"Shaw Academy","Scotland County Schools","NA - NA","N","","NA","6.9","82","34.85967882","-79.41761658"
"I E Johnson Elementary","Scotland County Schools","F - 39","F","39","NotMet","32.1","84","34.78120000","-79.44477800"
"Laurel Hill Elementary","Scotland County Schools","B - 80","B","80","Met","79.4","58","34.78120000","-79.44477800"
"North Laurinburg Elementary","Scotland County Schools","C - 58","C","58","Met","55.0","88","34.78743486","-79.45642948"
"Scotland High School","Scotland County Schools","C - 58","C","58","NotMet","44.7","50","34.77562241","-79.47379544"
"Scotland Early College High","Scotland County Schools","A - 90","A","90","Exceeded","87.9","40","34.74133682","-79.48248291"
"Spring Hill Middle","Scotland County Schools","C - 61","C","61","Met","55.2","49","34.86973572","-79.37840271"
"South Scotland Elementary","Scotland County Schools","C - 63","C","63","NotMet","64.0","52","34.73442841","-79.43924713"
"Wagram Elementary","Scotland County Schools","D - 52","D","52","NotMet","48.9","64","34.88573380","-79.36785690"
"Albemarle High","Stanly County Schools","D - 52","D","52","NotMet","32.6","69","35.37196732","-80.19285583"
"Albemarle Middle","Stanly County Schools","C - 56","C","56","Exceeded","47.6","80","35.35422800","-80.16960900"
"Aquadale Elementary","Stanly County Schools","C - 68","C","68","Met","67.0","58","35.22909164","-80.22397614"
"Badin Elementary","Stanly County Schools","C - 66","C","66","Met","61.4","64","35.40189300","-80.11447100"
"Central Elementary","Currituck County Schools","C - 59","C","59","Met","54.3","63","35.35241134","-80.19629873"
"Central Elementary","Haywood County Schools","C - 66","C","66","Met","62.6","100","35.35241134","-80.19629873"
"Central Elementary","Iredell-Statesville Schools","B - 75","B","75","Met","73.2","47","35.35241134","-80.19629873"
"Central Elementary","Northampton County Schools","F - 36","F","36","Met","26.1","92","35.35241134","-80.19629873"
"Central Elementary","Orange County Schools","C - 57","C","57","Exceeded","49.0","69","35.35241134","-80.19629873"
"Central Elementary","Pasquotank County Schools","C - 61","C","61","Met","56.1","59","35.35241134","-80.19629873"
"Central Elementary","Rockingham County Schools","C - 67","C","67","Exceeded","62.0","61","35.35241134","-80.19629873"
"Central Elementary","Stanly County Schools","D - 51","D","51","NotMet","48.0","80","35.35241134","-80.19629873"
"Endy Elementary","Stanly County Schools","B - 71","B","71","NotMet","72.7","50","35.30581284","-80.27872467"
"East Albemarle Elementary","Stanly County Schools","C - 56","C","56","Met","49.2","79","35.35087585","-80.16793060"
"Locust Elementary","Stanly County Schools","C - 64","C","64","NotMet","64.6","42","35.26303482","-80.41889954"
"Millingport Elementary","Stanly County Schools","D - 52","D","52","NotMet","48.2","57","35.37782288","-80.29962158"
"North Stanly Middle","Stanly County Schools","C - 66","C","66","Exceeded","60.6","47","35.40987396","-80.23536682"
"North Stanly High","Stanly County Schools","C - 57","C","57","NotMet","47.2","47","35.42685318","-80.21099854"
"Norwood Elementary","Stanly County Schools","D - 48","D","48","NotMet","42.7","66","35.42685318","-80.21099854"
"Oakboro Elementary","Stanly County Schools","D - 54","D","54","NotMet","51.4","51","35.23403931","-80.33553314"
"Richfield Elementary","Stanly County Schools","C - 62","C","62","Met","58.1","51","35.46840286","-80.25573730"
"West Stanly Middle School","Stanly County Schools","C - 67","C","67","Exceeded","60.2","43","35.27636719","-80.38433075"
"South Stanly High","Stanly County Schools","C - 66","C","66","Met","54.4","49","35.23094177","-80.16473389"
"South Stanly Middle","Stanly County Schools","D - 54","D","54","NotMet","52.2","53","35.23094177","-80.16473389"
"Stanfield Elementary","Stanly County Schools","C - 60","C","60","NotMet","61.7","51","35.23069000","-80.42632294"
"Stanly Early College High","Stanly County Schools","B - 80","B","80","NotMet","72.1","53","35.33832550","-80.23455048"
"West Stanly High","Stanly County Schools","C - 69","C","69","NotMet","57.7","36","35.26710510","-80.34636688"
"Stanly Academy Learning Center","Stanly County Schools","NA - NA","N","","NA","18.4","88","35.36314774","-80.20969391"
"Gray Stone Day","Charter Schools","A - 91","A","91","Met","94.3","12","35.48474884","-80.28749847"
"Chestnut Grove Middle","Stokes County Schools","C - 63","C","63","NotMet","61.4","47","36.32104017","-80.37479907"
"Germanton Elementary","Stokes County Schools","C - 55","C","55","Met","50.4","48","36.29692376","-80.23685440"
"Mount Olive Elementary","Stokes County Schools","B - 74","B","74","Met","71.9","46","36.32072501","-80.37396021"
"King Elementary","Stokes County Schools","C - 68","C","68","Met","64.8","63","36.27802625","-80.35300545"
"Lawsonville Elementary","Stokes County Schools","C - 64","C","64","Met","59.9","53","36.48604584","-80.23224640"
"Meadowbrook Academy","Stokes County Schools","NA - NA","N","","NA","12.8","83","36.27280399","-80.38093597"
"Nancy Reynolds Elementary","Stokes County Schools","C - 62","C","62","Met","58.2","65","36.43686676","-80.34449768"
"North Stokes High","Stokes County Schools","B - 71","B","71","NotMet","53.0","44","36.46401500","-80.28054800"
"Pine Hall Elementary","Stokes County Schools","C - 57","C","57","Met","50.5","69","35.53934479","-79.18541718"
"Piney Grove Middle","Stokes County Schools","D - 53","D","53","NotMet","51.9","56","36.48941182","-80.23521021"
"Pinnacle Elementary","Stokes County Schools","C - 56","C","56","Met","51.9","64","36.32830429","-80.43579865"
"Poplar Springs Elementary","Stokes County Schools","C - 64","C","64","NotMet","63.2","51","36.29481800","-80.32875000"
"Southeastern Middle","Stokes County Schools","C - 58","C","58","Met","52.0","55","36.30959652","-80.14035322"
"South Stokes High","Stokes County Schools","B - 72","B","72","Met","55.4","44","36.32613373","-80.24040222"
"London Elementary","Stokes County Schools","C - 63","C","63","NotMet","61.6","57","36.30032681","-80.14604822"
"Walnut Cove Elementary","Stokes County Schools","C - 61","C","61","Exceeded","54.6","72","36.32490188","-80.14969468"
"West Stokes High","Stokes County Schools","C - 68","C","68","NotMet","53.6","34","36.31138220","-80.37313074"
"Stokes Early College","Stokes County Schools","A - 86","A","86","Met","76.9","47","36.37632370","-80.18331909"
"Cedar Ridge Elementary","Surry County Schools","B - 76","B","76","Exceeded","71.0","71","36.50970459","-80.80062866"
"Central Middle","Surry County Schools","C - 68","C","68","Exceeded","61.8","70","36.39517200","-80.73336700"
"Central Middle","Whiteville City Schools","C - 63","C","63","Exceeded","57.0","68","36.39517200","-80.73336700"
"Copeland Elementary","Surry County Schools","C - 67","C","67","Met","63.6","72","36.33724594","-80.64967346"
"Dobson Elementary","Surry County Schools","C - 66","C","66","NotMet","65.6","64","36.39445491","-80.72607525"
"East Surry High","Surry County Schools","B - 73","B","73","NotMet","59.5","43","36.39225416","-80.47665462"
"Flat Rock Elementary","Surry County Schools","B - 71","B","71","Met","67.9","100","36.51355743","-80.56748199"
"Franklin Elementary","Surry County Schools","C - 64","C","64","NotMet","62.6","72","36.49082565","-80.63077545"
"J Sam Gentry Middle","Surry County Schools","C - 69","C","69","Exceeded","64.9","59","36.49922943","-80.65411377"
"Meadowview Magnet Middle","Surry County Schools","D - 47","D","47","NotMet","45.7","76","36.48067800","-80.64980300"
"Mountain Park Elementary","Surry County Schools","C - 56","C","56","Met","51.7","77","36.37330600","-80.85228700"
"North Surry High","Surry County Schools","C - 63","C","63","NotMet","49.1","55","36.50617981","-80.67376709"
"Pilot Mountain Elementary","Surry County Schools","C - 63","C","63","NotMet","63.0","56","36.38975900","-80.47135900"
"Pilot Mountain Middle","Surry County Schools","C - 68","C","68","Met","66.4","55","36.40295000","-80.47273200"
"Rockford Elementary","Surry County Schools","C - 62","C","62","Met","58.8","75","36.37200165","-80.69340515"
