school_name_value,school_system_value,schoolgrade_value,growthstatus_value,gradelevel_value,freereduced_value
"Belmont Elementary","Roanoke Rapids City Schools","C - 55","Met","48.7","88"
"Chaloner Middle","Roanoke Rapids City Schools","C - 57","Exceeded","49.5","59"
"Roanoke Rapids High","Roanoke Rapids City Schools","C - 60","NotMet","44.5","47"
"William L Manning Elementary","Roanoke Rapids City Schools","C - 68","Exceeded","61.3","60"
"Deep Branch Elementary","Robeson County Schools","F - 34","NotMet","27.2","90"
"East Robeson Primary","Robeson County Schools","B - 71","Exceeded","65.9","89"
"Fairgrove Middle","Robeson County Schools","D - 45","Met","36.5","87"
"Fairmont High","Robeson County Schools","C - 60","Met","33.2","81"
"Fairmont Middle","Robeson County Schools","D - 44","Met","34.9","94"
"Green Grove Elementary","Robeson County Schools","C - 58","Met","52.0","91"
"Janie C Hargrave Elem","Robeson County Schools","F - 36","Met","25.3","95"
"L Gilbert Carroll Middle","Robeson County Schools","D - 44","NotMet","38.9","74"
"Robeson Co Career Ctr","Robeson County Schools","I - NA","NA","NA","NA"
"Littlefield Middle","Robeson County Schools","D - 41","NotMet","36.7","80"
"Long Branch Elementary","Robeson County Schools","D - 46","Met","36.6","89"
"Lumberton Junior High","Robeson County Schools","F - 37","NotMet","32.6","81"
"Lumberton Senior High","Robeson County Schools","C - 56","NotMet","37.1","69"
"Magnolia Elementary","Robeson County Schools","F - 35","NotMet","26.9","92"
"Orrum Middle","Robeson County Schools","D - 40","NotMet","33.5","82"
"Oxendine Elementary","Robeson County Schools","D - 42","Met","34.0","91"
"Parkton Elementary","Robeson County Schools","D - 49","Met","41.0","86"
"Pembroke Elementary","Robeson County Schools","D - 42","NotMet","35.5","81"
"Pembroke Middle","Robeson County Schools","F - 39","NotMet","33.0","82"
"Peterson Elementary","Robeson County Schools","F - 38","Met","27.8","92"
"Piney Grove Elementary","Robeson County Schools","D - 46","NotMet","40.7","87"
"Prospect Elementary","Robeson County Schools","D - 49","Met","42.4","73"
"PSRC Early College at RCC","Robeson County Schools","A - 91","Exceeded","87.0","51"
"R B Dean Elementary","Robeson County Schools","F - 34","Met","23.1","93"
"Red Springs High","Robeson County Schools","C - 69","Exceeded","50.3","84"
"Rex-Rennert Elementary","Robeson County Schools","D - 43","Exceeded","30.7","95"
"Red Springs Middle","Robeson County Schools","D - 42","Exceeded","30.9","91"
"Rosenwald Elementary","Robeson County Schools","F - 33","Met","23.8","91"
"Rowland Middle","Robeson County Schools","D - 46","Met","37.3","94"
"Rowland Norment Elementary","Robeson County Schools","D - 51","Met","43.5","94"
"Saint Pauls Elementary","Robeson County Schools","D - 45","Exceeded","32.5","93"
"Saint Pauls High","Robeson County Schools","C - 63","Exceeded","39.9","79"
"South Robeson High","Robeson County Schools","D - 51","NotMet","27.8","88"
"Saint Pauls Middle","Robeson County Schools","D - 49","Exceeded","35.7","84"
"Tanglewood Elementary","Robeson County Schools","C - 65","Met","61.5","53"
"Southside/Ashpole Elem","Robeson County Schools","F - 36","NotMet","29.4","94"
"Townsend Middle","Robeson County Schools","F - 26","NotMet","16.2","91"
"Union Chapel Elementary","Robeson County Schools","D - 50","Exceeded","41.7","83"
"Union Elementary","Robeson County Schools","C - 57","Exceeded","48.2","83"
"W H Knuckles","Robeson County Schools","F - 36","Met","24.7","98"
"West Lumberton Elementary","Robeson County Schools","B - 79","Exceeded","75.7","96"
"Purnell Swett High","Robeson County Schools","C - 57","NotMet","33.7","72"
"Bethany Elementary","Rockingham County Schools","C - 65","Met","63.3","43"
"Central Elementary","Rockingham County Schools","C - 67","Exceeded","62.0","61"
"Dalton McMichael High","Rockingham County Schools","B - 71","Exceeded","53.2","53"
"Douglass Elementary","Rockingham County Schools","C - 63","Exceeded","56.9","69"
"Draper Elementary","Rockingham County Schools","D - 54","Exceeded","46.0","87"
"Huntsville Elementary","Rockingham County Schools","C - 64","Met","59.4","67"
"J E Holmes Middle","Rockingham County Schools","D - 51","NotMet","45.9","67"
"John W Dillard Elementary","Rockingham County Schools","C - 65","Exceeded","57.6","79"
"Leaksville-Spray Elementary","Rockingham County Schools","C - 62","Met","56.1","82"
"Lincoln Elementary","Rockingham County Schools","C - 58","Exceeded","50.6","64"
"Monroeton Elementary","Rockingham County Schools","C - 59","NotMet","56.8","58"
"John M Morehead High","Rockingham County Schools","D - 53","NotMet","35.6","57"
"Moss Street Elementary","Rockingham County Schools","D - 52","Exceeded","43.4","95"
"New Vision Sch.of Math/Sci/Tec","Rockingham County Schools","B - 74","Met","71.7","37"
"Reidsville High","Rockingham County Schools","C - 55","Met","36.0","62"
"Reidsville Middle","Rockingham County Schools","D - 44","Met","35.7","76"
"Rockingham County High","Rockingham County Schools","C - 67","Met","51.2","36"
"Rockingham Co Early College High","Rockingham County Schools","A - 92","Exceeded","87.9","43"
"Rockingham County Middle","Rockingham County Schools","C - 67","Exceeded","58.2","45"
"South End Elementary","Rockingham County Schools","C - 65","Met","60.1","75"
"Stoneville Elementary","Rockingham County Schools","C - 55","Exceeded","46.1","74"
"The SCORE Center","Rockingham County Schools","NA - NA","NA","9.0","94"
"Western Rockingham Middle","Rockingham County Schools","C - 59","Exceeded","51.0","61"
"Wentworth Elementary","Rockingham County Schools","C - 67","Met","63.3","47"
"Williamsburg Elementary","Rockingham County Schools","C - 56","Met","49.7","78"
"Henderson High","Rowan-Salisbury Schools","NA - NA","NA","10.0","86"
"Bostian Elementary","Rowan-Salisbury Schools","C - 64","Met","61.9","45"
"Erwin Middle","Rowan-Salisbury Schools","D - 42","NotMet","39.9","51"
"Overton Elementary","Rowan-Salisbury Schools","D - 41","NotMet","34.0","80"
"China Grove Elementary","Rowan-Salisbury Schools","D - 50","Met","44.3","66"
"China Grove Middle","Rowan-Salisbury Schools","D - 47","NotMet","45.9","49"
"Cleveland Elementary","Rowan-Salisbury Schools","C - 55","Met","49.0","61"
"Corriher Lipe Middle","Rowan-Salisbury Schools","D - 40","NotMet","37.3","65"
"East Rowan High","Rowan-Salisbury Schools","C - 59","NotMet","45.2","42"
"Koontz Elementary","Rowan-Salisbury Schools","F - 36","NotMet","31.0","91"
"Shive Elementary","Rowan-Salisbury Schools","C - 57","NotMet","54.3","58"
"Enochville Elementary","Rowan-Salisbury Schools","C - 56","Met","51.5","61"
"Faith Elementary","Rowan-Salisbury Schools","C - 63","Met","60.0","51"
"Granite Quarry Elementary","Rowan-Salisbury Schools","C - 60","Met","54.8","63"
"Isenberg Elementary","Rowan-Salisbury Schools","D - 41","Met","30.7","82"
"Dole Elementary","Rowan-Salisbury Schools","D - 40","Met","29.6","86"
"Hurley Elementary","Rowan-Salisbury Schools","D - 45","NotMet","40.4","74"
"Carson High","Rowan-Salisbury Schools","C - 68","Met","53.1","46"
"Knollwood Elementary","Rowan-Salisbury Schools","F - 38","NotMet","32.4","81"
"Knox Middle","Rowan-Salisbury Schools","F - 34","NotMet","27.3","86"
"Landis Elementary","Rowan-Salisbury Schools","D - 43","NotMet","38.7","70"
"Millbridge Elementary","Rowan-Salisbury Schools","C - 58","Met","53.4","51"
"Morgan Elementary","Rowan-Salisbury Schools","C - 59","Met","52.8","58"
"Mt Ulla Elementary","Rowan-Salisbury Schools","C - 66","Exceeded","59.6","59"
"North Rowan Elementary","Rowan-Salisbury Schools","F - 37","Met","28.3","80"
"North Rowan High","Rowan-Salisbury Schools","D - 45","NotMet","22.4","69"
"North Rowan Middle","Rowan-Salisbury Schools","D - 45","Met","36.6","81"
"Rockwell Elementary","Rowan-Salisbury Schools","C - 63","Met","59.3","54"
"Rowan Co Early College","Rowan-Salisbury Schools","B - 82","Met","70.2","66"
"Salisbury High","Rowan-Salisbury Schools","D - 54","NotMet","34.5","67"
"Southeast Middle","Rowan-Salisbury Schools","D - 44","NotMet","41.9","57"
"South Rowan High","Rowan-Salisbury Schools","C - 57","NotMet","36.7","51"
"West Rowan High","Rowan-Salisbury Schools","C - 59","NotMet","43.3","50"
"West Rowan Middle","Rowan-Salisbury Schools","D - 49","NotMet","47.0","58"
"Woodleaf Elementary","Rowan-Salisbury Schools","D - 49","NotMet","46.4","69"
"Chase High School","Rutherford County Schools","C - 67","Exceeded","49.5","56"
"Chase Middle School","Rutherford County Schools","D - 51","NotMet","49.5","70"
"Cliffside Elementary School","Rutherford County Schools","B - 74","Met","71.6","81"
"Forest City-Dunbar Elementary School","Rutherford County Schools","C - 58","Met","53.1","95"
"East Rutherford High School","Rutherford County Schools","C - 61","Met","43.5","65"
"East Rutherford Middle School","Rutherford County Schools","C - 55","NotMet","53.1","69"
"Ellenboro Elementary School","Rutherford County Schools","B - 70","Met","69.9","67"
"Forrest W Hunt Elementary School","Rutherford County Schools","B - 74","Exceeded","70.0","78"
"Harris Elementary School","Rutherford County Schools","B - 70","Met","67.8","69"
"Mt Vernon-Ruth Elementary School","Rutherford County Schools","C - 63","Met","59.5","74"
"Pinnacle Elementary School","Rutherford County Schools","B - 73","Met","73.3","66"
"R-S Middle School","Rutherford County Schools","D - 51","NotMet","49.8","65"
"R-S Central High School","Rutherford County Schools","C - 59","NotMet","41.5","57"
"Rutherford Early College High School","Rutherford County Schools","A - 87","Met","82.9","47"
"Rutherford Opportunity Center","Rutherford County Schools","NA - NA","NA","5.4","100"
"Rutherfordton Elementary School","Rutherford County Schools","C - 69","Met","66.8","66"
"Spindale Elementary School","Rutherford County Schools","C - 65","Met","60.3","87"
"Sunshine Elementary School","Rutherford County Schools","B - 74","Met","71.7","68"
"Roseboro Elementary","Sampson County Schools","C - 67","Exceeded","61.4","84"
"Clement Elementary","Sampson County Schools","C - 61","NotMet","59.7","69"
"Sampson Early College High","Sampson County Schools","B - 80","Exceeded","69.5","55"
"Hargrove Elementary","Sampson County Schools","C - 69","Exceeded","64.1","84"
"Hobbton Elementary","Sampson County Schools","B - 71","Met","69.1","79"
"Hobbton Middle","Sampson County Schools","C - 55","NotMet","55.0","77"
"Hobbton High","Sampson County Schools","C - 69","Exceeded","53.5","67"
"Lakewood High","Sampson County Schools","C - 60","Met","42.6","72"
"Midway Elementary","Sampson County Schools","B - 73","Exceeded","68.7","65"
"Midway High","Sampson County Schools","C - 67","NotMet","52.9","51"
"Midway Middle","Sampson County Schools","C - 60","NotMet","60.0","57"
"Plain View Elementary","Sampson County Schools","B - 78","Exceeded","74.4","58"
"Union Middle","Sampson County Schools","D - 50","Met","44.6","83"
"Roseboro-Salemburg Middle","Sampson County Schools","C - 61","Met","56.3","77"
"Salemburg Elementary","Sampson County Schools","C - 61","Exceeded","53.6","77"
"Union Elementary","Sampson County Schools","B - 74","Exceeded","71.3","91"
"Union Intermediate","Sampson County Schools","C - 62","Met","59.7","91"
"Union High","Sampson County Schools","C - 59","Met","36.9","78"
"Carver Middle","Scotland County Schools","D - 47","NotMet","44.1","65"
"Covington Street Elementary","Scotland County Schools","C - 64","Met","62.0","56"
"Shaw Academy","Scotland County Schools","NA - NA","NA","6.9","82"
"I E Johnson Elementary","Scotland County Schools","F - 39","NotMet","32.1","84"
"Laurel Hill Elementary","Scotland County Schools","B - 80","Met","79.4","58"
"North Laurinburg Elementary","Scotland County Schools","C - 58","Met","55.0","88"
"Scotland High School","Scotland County Schools","C - 58","NotMet","44.7","50"
"Pate-Gardner Elementary","Scotland County Schools","C - 64","Met","59.5","75"
"Scotland Early College High","Scotland County Schools","A - 90","Exceeded","87.9","40"
"Spring Hill Middle","Scotland County Schools","C - 61","Met","55.2","49"
"Sycamore Lane Middle","Scotland County Schools","C - 55","Exceeded","46.8","57"
"South Scotland Elementary","Scotland County Schools","C - 63","NotMet","64.0","52"
"Wagram Elementary","Scotland County Schools","D - 52","NotMet","48.9","64"
"Washington Park Elementary","Scotland County Schools","C - 66","Exceeded","60.1","56"
"Albemarle High","Stanly County Schools","D - 52","NotMet","32.6","69"
"Albemarle Middle","Stanly County Schools","C - 56","Exceeded","47.6","80"
"Aquadale Elementary","Stanly County Schools","C - 68","Met","67.0","58"
"Badin Elementary","Stanly County Schools","C - 66","Met","61.4","64"
"Central Elementary","Stanly County Schools","D - 51","NotMet","48.0","80"
"Endy Elementary","Stanly County Schools","B - 71","NotMet","72.7","50"
"East Albemarle Elementary","Stanly County Schools","C - 56","Met","49.2","79"
"Locust Elementary","Stanly County Schools","C - 64","NotMet","64.6","42"
"Millingport Elementary","Stanly County Schools","D - 52","NotMet","48.2","57"
"North Stanly Middle","Stanly County Schools","C - 66","Exceeded","60.6","47"
"North Stanly High","Stanly County Schools","C - 57","NotMet","47.2","47"
"Norwood Elementary","Stanly County Schools","D - 48","NotMet","42.7","66"
"Oakboro Elementary","Stanly County Schools","D - 54","NotMet","51.4","51"
"Richfield Elementary","Stanly County Schools","C - 62","Met","58.1","51"
"West Stanly Middle School","Stanly County Schools","C - 67","Exceeded","60.2","43"
"South Stanly High","Stanly County Schools","C - 66","Met","54.4","49"
"South Stanly Middle","Stanly County Schools","D - 54","NotMet","52.2","53"
"Stanfield Elementary","Stanly County Schools","C - 60","NotMet","61.7","51"
"Stanly Early College High","Stanly County Schools","B - 80","NotMet","72.1","53"
"West Stanly High","Stanly County Schools","C - 69","NotMet","57.7","36"
"Stanly Academy Learning Center","Stanly County Schools","NA - NA","NA","18.4","88"
"Chestnut Grove Middle","Stokes County Schools","C - 63","NotMet","61.4","47"
"Francisco Elementary","Stokes County Schools","C - 63","Exceeded","56.3","75"
"Germanton Elementary","Stokes County Schools","C - 55","Met","50.4","48"
"Mount Olive Elementary","Stokes County Schools","B - 74","Met","71.9","46"
"King Elementary","Stokes County Schools","C - 68","Met","64.8","63"
"Lawsonville Elementary","Stokes County Schools","C - 64","Met","59.9","53"
"Meadowbrook Academy","Stokes County Schools","NA - NA","NA","12.8","83"
"Nancy Reynolds Elementary","Stokes County Schools","C - 62","Met","58.2","65"
"North Stokes High","Stokes County Schools","B - 71","NotMet","53.0","44"
"Pine Hall Elementary","Stokes County Schools","C - 57","Met","50.5","69"
"Piney Grove Middle","Stokes County Schools","D - 53","NotMet","51.9","56"
"Pinnacle Elementary","Stokes County Schools","C - 56","Met","51.9","64"
"Poplar Springs Elementary","Stokes County Schools","C - 64","NotMet","63.2","51"
"Sandy Ridge Elementary","Stokes County Schools","C - 65","Met","59.5","60"
"Southeastern Middle","Stokes County Schools","C - 58","Met","52.0","55"
"South Stokes High","Stokes County Schools","B - 72","Met","55.4","44"
"London Elementary","Stokes County Schools","C - 63","NotMet","61.6","57"
"Walnut Cove Elementary","Stokes County Schools","C - 61","Exceeded","54.6","72"
"West Stokes High","Stokes County Schools","C - 68","NotMet","53.6","34"
"Stokes Early College","Stokes County Schools","A - 86","Met","76.9","47"
"Cedar Ridge Elementary","Surry County Schools","B - 76","Exceeded","71.0","71"
"Central Middle","Surry County Schools","C - 68","Exceeded","61.8","70"
"Copeland Elementary","Surry County Schools","C - 67","Met","63.6","72"
"Dobson Elementary","Surry County Schools","C - 66","NotMet","65.6","64"
"East Surry High","Surry County Schools","B - 73","NotMet","59.5","43"
"Flat Rock Elementary","Surry County Schools","B - 71","Met","67.9","100"
"Franklin Elementary","Surry County Schools","C - 64","NotMet","62.6","72"
"J Sam Gentry Middle","Surry County Schools","C - 69","Exceeded","64.9","59"
"Meadowview Magnet Middle","Surry County Schools","D - 47","NotMet","45.7","76"
"Mountain Park Elementary","Surry County Schools","C - 56","Met","51.7","77"
"North Surry High","Surry County Schools","C - 63","NotMet","49.1","55"
"Pilot Mountain Elementary","Surry County Schools","C - 63","NotMet","63.0","56"
"Pilot Mountain Middle","Surry County Schools","C - 68","Met","66.4","55"
"Rockford Elementary","Surry County Schools","C - 62","Met","58.8","75"
"Shoals Elementary","Surry County Schools","B - 84","Met","84.3","47"
"Surry Central High","Surry County Schools","C - 64","NotMet","51.0","60"
"Surry Early College","Surry County Schools","A+ - 92","Exceeded","86.5","55"
"Westfield Elementary","Surry County Schools","C - 68","Met","65.6","64"
"White Plains Elementary","Surry County Schools","B - 74","Exceeded","70.2","61"
"Swain County High School","Swain County Schools","C - 61","NotMet","45.8","56"
"Swain County Middle School","Swain County Schools","C - 57","Met","51.2","66"
"Swain County East Elementary","Swain County Schools","C - 56","Met","50.1","67"
"Swain County West Elementary","Swain County Schools","C - 69","Met","65.8","65"
"Liberty Drive Elementary","Thomasville City Schools","D - 52","Met","47.3","92"
"Thomasville Primary","Thomasville City Schools","C - 55","Met","48.8","94"
"Thomasville Middle","Thomasville City Schools","D - 45","NotMet","41.5","90"
"Thomasville High","Thomasville City Schools","C - 60","Met","39.4","83"
"Brevard Elementary","Transylvania County Schools","C - 65","NotMet","63.3","68"
"Brevard High","Transylvania County Schools","B - 74","Met","61.4","45"
"Brevard Middle","Transylvania County Schools","C - 68","Met","64.7","58"
"Pisgah Forest Elementary","Transylvania County Schools","B - 71","NotMet","72.0","61"
"Davidson River School","Transylvania County Schools","NA - NA","NA","31.2","94"
"Rosman Elementary","Transylvania County Schools","B - 72","Met","69.8","75"
"Rosman High","Transylvania County Schools","B - 70","Met","59.0","60"
"Rosman Middle","Transylvania County Schools","C - 60","Met","57.7","63"
"T C Henderson Elementary","Transylvania County Schools","B - 77","Met","76.2","70"
"Columbia High","Tyrrell County Schools","B - 73","Exceeded","57.7","57"
"Columbia Middle","Tyrrell County Schools","D - 43","Met","35.8","77"
"Tyrrell Elementary","Tyrrell County Schools","C - 56","Met","49.7","78"
"Antioch Elementary","Union County Public Schools","A+ - 87","Met","88.2","11"
"Rea View Elementary","Union County Public Schools","A - 85","NotMet","90.0","2"
"Benton Heights Elementary","Union County Public Schools","D - 42","NotMet","36.5","90"
"New Town Elementary","Union County Public Schools","A+ - 88","Exceeded","87.7","8"
"East Elementary","Union County Public Schools","F - 36","NotMet","29.2","98"
"Rocky River Elementary","Union County Public Schools","B - 76","Exceeded","73.0","61"
"East Union Middle","Union County Public Schools","D - 52","NotMet","48.3","74"
"Cuthbertson Middle","Union County Public Schools","A - 91","Exceeded","88.5","11"
"Cuthbertson High","Union County Public Schools","A+ - 92","Exceeded","86.2","12"
"Fairview Elementary","Union County Public Schools","B - 75","Met","72.8","30"
"Monroe Middle","Union County Public Schools","D - 48","NotMet","42.9","92"
"Forest Hills High","Union County Public Schools","C - 64","Met","44.2","69"
"Hemby Bridge Elementary","Union County Public Schools","B - 77","Met","76.2","30"
"Indian Trail Elementary","Union County Public Schools","B - 77","Exceeded","74.0","35"
"Kensington Elementary","Union County Public Schools","B - 77","NotMet","79.5","8"
"Marshville Elementary","Union County Public Schools","C - 58","NotMet","56.7","70"
"Marvin Elementary","Union County Public Schools","A - 86","Met","87.7","4"
"Monroe High","Union County Public Schools","D - 51","NotMet","34.2","89"
"New Salem Elementary","Union County Public Schools","B - 78","Met","79.2","27"
"Porter Ridge Elementary","Union County Public Schools","B - 70","Exceeded","65.7","44"
"Porter Ridge High School","Union County Public Schools","B - 75","Met","68.5","27"
"Porter Ridge Middle School","Union County Public Schools","B - 71","Met","68.2","33"
"Parkwood High","Union County Public Schools","C - 64","NotMet","55.2","41"
"Parkwood Middle","Union County Public Schools","C - 62","NotMet","63.4","47"
"Poplin Elementary","Union County Public Schools","A+ - 85","Exceeded","83.3","27"
"Piedmont High","Union County Public Schools","B - 84","Exceeded","79.1","26"
"Piedmont Middle","Union County Public Schools","B - 72","Met","71.0","30"
"Rock Rest Elementary","Union County Public Schools","C - 67","Met","65.3","92"
"Prospect Elementary","Union County Public Schools","C - 63","Met","58.3","49"
"Sandy Ridge Elementary","Union County Public Schools","B - 83","Met","83.4","3"
"Sardis Elementary","Union County Public Schools","C - 66","Met","61.3","59"
"Shiloh Elementary","Union County Public Schools","B - 78","Exceeded","76.4","43"
"Stallings Elementary","Union County Public Schools","B - 81","Met","80.2","22"
"Sun Valley High","Union County Public Schools","B - 72","NotMet","67.5","36"
"Sun Valley Middle","Union County Public Schools","C - 66","NotMet","67.9","39"
"Sun Valley Elementary","Union County Public Schools","B - 80","Met","78.7","35"
"Union Elementary","Union County Public Schools","B - 70","Met","67.1","62"
"South Providence","Union County Public Schools","NA - NA","NA","6.4","94"
"Central Academy of Technology & Arts","Union County Public Schools","A+ - 95","Exceeded","94.6","25"
"Union County Early College","Union County Public Schools","A+ - 93","Met","91.1","41"
"Unionville Elementary","Union County Public Schools","B - 83","Exceeded","81.0","37"
"Walter Bickett Elementary","Union County Public Schools","F - 39","NotMet","33.7","93"
"Waxhaw Elementary","Union County Public Schools","C - 64","Met","60.2","41"
"Weddington Elementary","Union County Public Schools","A - 92","Exceeded","93.8","7"
"Weddington High","Union County Public Schools","A+ - 89","Met","88.4","8"
"Weddington Middle","Union County Public Schools","A+ - 93","Exceeded","93.3","10"
"Wesley Chapel Elementary","Union County Public Schools","B - 83","Met","82.9","16"
"Western Union Elementary","Union County Public Schools","C - 65","Met","63.5","54"
"Wingate Elementary","Union County Public Schools","C - 57","Met","53.6","87"
"Marvin Ridge Middle","Union County Public Schools","A - 93","Exceeded","92.5","3"
"Wolfe School","Union County Public Schools","NA - NA","NA","13.6","47"
"Marvin Ridge High","Union County Public Schools","A - 93","Exceeded","91.1","2"
"Aycock Elementary","Vance County Schools","B - 72","Met","70.8","66"
"Carver Elementary","Vance County Schools","D - 53","NotMet","49.5","70"
"Clarke Elementary","Vance County Schools","C - 60","Exceeded","54.0","71"
"Dabney Elementary","Vance County Schools","C - 56","Met","50.2","68"
"Eaton-Johnson Middle","Vance County Schools","F - 37","Met","26.1","67"
"Henderson Middle","Vance County Schools","F - 35","NotMet","29.1","67"
"New Hope Elementary","Vance County Schools","D - 46","Met","37.0","76"
"E O Young Jr Elementary","Vance County Schools","D - 44","NotMet","37.2","70"
"Pinkston Street Elementary","Vance County Schools","C - 61","Met","55.1","82"
"E M Rollins Elementary","Vance County Schools","D - 42","NotMet","37.1","75"
"Southern Vance High","Vance County Schools","D - 49","NotMet","27.1","57"
"Western Vance High","Vance County Schools","NA - NA","NA","7.0","73"
"Northern Vance High","Vance County Schools","D - 46","NotMet","25.9","55"
"L B Yancey Elementary","Vance County Schools","D - 44","Met","37.1","80"
"Zeb Vance Elementary","Vance County Schools","C - 60","Met","54.5","65"
"Vance Co Early College","Vance County Schools","B - 77","Met","66.0","36"
"STEM Early High","Vance County Schools","C - 62","NotMet","64.7","100"
"River Bend Elementary","Wake County Schools","C - 60","Met","55.9","62"
"Adams Elementary","Wake County Schools","B - 73","Met","73.0","40"
"Herbert Akins Rd Elementary","Wake County Schools","B - 70","NotMet","73.2","25"
"Alston Ridge Elementary","Wake County Schools","B - 81","NotMet","85.3","7"
"Apex Elementary","Wake County Schools","C - 69","NotMet","71.6","35"
"Apex Middle","Wake County Schools","B - 78","Met","80.1","21"
"Apex High","Wake County Schools","A+ - 86","Met","82.7","11"
"Athens Drive High","Wake County Schools","B - 75","Exceeded","59.4","37"
"Aversboro Elementary","Wake County Schools","C - 63","Met","60.0","53"
"Longview","Wake County Schools","NA - NA","NA","<5","92"
"Banks Rd Elementary","Wake County Schools","B - 75","Met","74.5","30"
"Baileywick Road Elementary","Wake County Schools","C - 60","NotMet","58.4","51"
"Ballentine Elementary","Wake County Schools","C - 67","NotMet","68.4","33"
"Baucom Elementary","Wake County Schools","B - 80","Met","79.4","15"
"Barwell Road Elementary","Wake County Schools","D - 46","Met","39.4","70"
"Brassfield Elementary","Wake County Schools","A+ - 86","Met","85.6","14"
"Brentwood Elementary","Wake County Schools","C - 55","NotMet","51.6","74"
"Briarcliff Elementary","Wake County Schools","C - 69","NotMet","69.9","39"
"Brier Creek Elementary","Wake County Schools","C - 67","NotMet","69.9","22"
"Brooks Elementary","Wake County Schools","B - 70","NotMet","70.3","26"
"Needham Broughton High","Wake County Schools","B - 75","Exceeded","59.8","37"
"Bugg Elementary","Wake County Schools","D - 44","NotMet","40.2","66"
"Carnage Middle","Wake County Schools","C - 68","Met","66.9","36"
"Carpenter Elementary","Wake County Schools","B - 71","NotMet","74.1","20"
"Carroll Middle","Wake County Schools","D - 46","NotMet","43.1","52"
"Carver Elementary","Wake County Schools","C - 59","Met","55.3","57"
"Cary Elementary","Wake County Schools","B - 74","Met","72.9","43"
"Cary High","Wake County Schools","B - 80","Exceeded","68.5","35"
"Cedar Fork Elementary","Wake County Schools","A+ - 87","Met","88.7","9"
"Centennial Campus Middle","Wake County Schools","D - 53","NotMet","51.8","45"
"Combs Elementary","Wake County Schools","B - 75","Met","73.6","30"
"Conn Elementary","Wake County Schools","C - 63","NotMet","61.4","44"
"Creech Road Elementary","Wake County Schools","C - 57","Met","50.2","80"
"Daniels Middle","Wake County Schools","C - 60","NotMet","60.3","40"
"Davis Drive Elementary","Wake County Schools","A+ - 86","NotMet","92.0","5"
"Davis Drive Middle","Wake County Schools","A - 86","Met","87.5","9"
"Dillard Drive Elementary","Wake County Schools","C - 64","Met","59.5","53"
"Dillard Drive Middle","Wake County Schools","C - 63","Met","58.1","49"
"Douglas Elementary","Wake County Schools","C - 61","NotMet","63.7","34"
"Durant Road Elementary","Wake County Schools","C - 69","NotMet","69.9","34"
"Durant Road Middle","Wake County Schools","C - 60","NotMet","59.8","42"
"Reedy Creek Middle","Wake County Schools","C - 60","Met","56.8","51"
"East Cary Middle","Wake County Schools","C - 65","NotMet","68.1","29"
"East Garner Elementary","Wake County Schools","D - 53","Met","46.9","73"
"East Garner Middle","Wake County Schools","D - 50","NotMet","45.5","63"
"East Millbrook Middle","Wake County Schools","D - 51","Met","46.1","66"
"East Wake Middle","Wake County Schools","D - 47","NotMet","41.4","69"
"William G Enloe High","Wake County Schools","B - 76","Met","68.6","36"
"Forestville Road Elementary","Wake County Schools","C - 63","Met","57.7","56"
"Farmington Woods Elementary","Wake County Schools","B - 75","Met","74.1","29"
"Fox Road Elementary","Wake County Schools","D - 52","Met","45.9","75"
"Fuller Elementary","Wake County Schools","C - 68","Met","65.2","38"
"Forest Pines Drive Elementary","Wake County Schools","C - 65","NotMet","66.0","34"
"Fuquay-Varina Elementary","Wake County Schools","C - 69","Met","68.7","37"
"Fuquay-Varina Middle","Wake County Schools","C - 58","NotMet","57.8","50"
"Fuquay-Varina High","Wake County Schools","B - 75","Exceeded","64.9","32"
"Garner High","Wake County Schools","B - 70","Exceeded","55.0","47"
"River Oaks Middle","Wake County Schools","NA - NA","NA","23.2","90"
"Green Hope Elementary","Wake County Schools","A - 87","Met","88.0","10"
"Green Elementary","Wake County Schools","C - 56","Met","49.7","54"
"Green Hope High","Wake County Schools","A+ - 91","Exceeded","87.6","8"
"Hilburn Drive Academy","Wake County Schools","B - 76","Exceeded","73.0","27"
"Highcroft Elementary","Wake County Schools","B - 84","NotMet","91.3","4"
"Heritage Middle","Wake County Schools","B - 83","Exceeded","81.5","17"
"Heritage High","Wake County Schools","B - 77","Exceeded","65.9","27"
"Hodge Road Elementary","Wake County Schools","F - 37","NotMet","31.4","76"
"Holly Springs Elementary","Wake County Schools","B - 82","Met","81.9","15"
"Hunter Elementary","Wake County Schools","C - 61","NotMet","60.6","41"
"Holly Ridge Elementary","Wake County Schools","B - 70","NotMet","72.9","23"
"Holly Ridge Middle","Wake County Schools","C - 66","NotMet","68.2","25"
"Harris Creek Elementary","Wake County Schools","C - 64","NotMet","64.8","31"
"Jeffreys Grove Elementary","Wake County Schools","B - 71","NotMet","73.8","32"
"Jones Dairy Elementary","Wake County Schools","B - 80","NotMet","84.2","15"
"Heritage Elementary","Wake County Schools","B - 78","NotMet","81.9","15"
"Holly Springs High","Wake County Schools","A+ - 85","Exceeded","75.5","19"
"Joyner Elementary","Wake County Schools","B - 74","Met","73.1","24"
"Holly Grove Elementary","Wake County Schools","B - 80","NotMet","84.7","11"
"Holly Grove Middle","Wake County Schools","B - 71","Met","69.6","23"
"Kingswood Elementary","Wake County Schools","C - 69","Met","66.6","48"
"Knightdale Elementary","Wake County Schools","D - 52","NotMet","47.9","65"
